use_image,retrieved_docs_count,use_few_shot,query_id,user_query,generated_question,generated_answer,citations,citation_1_text,citation_2_text,citation_3_text,citation_4_text,damerau_levenshtein_sim,jaro_winkler_sim
True,4,False,01JF7736A5BZXWNS95T5BJA5RQ,Can you provide practice problems on multiplying two matrices?,"A food truck serves three types of meals: burgers, tacos, and salads. The following table shows the number of each type of meal sold on two different days:\\
\[
\begin{array}{ccc}
\text{Day} & \text{Burgers} & \text{Tacos} & \text{Salads} \\
\hline
\text{Monday} & 200 & 150 & 80 \\
\text{Tuesday} & 180 & 160 & 100 \\
\end{array}
\]
\newline
The cost of each meal is represented by the vector \( C = \begin{pmatrix} 5 \\ 3 \\ 6 \end{pmatrix} \), where the costs are in dollars for a burger, taco, and salad, respectively.\\
(i) Write the matrix \( M \) that represents the number of meals sold on Monday and Tuesday.\\
(ii) Find the matrix \( R = MC \).\\
(iii) Explain what each element of matrix \( R \) represents.\\
(iv) Calculate the total revenue generated from the sales on both days.",3640,"674dcdb4b00b977d048c931b,674dcde1b00b977d048c9352","The admission tickets to the Singapore Zoo are $50 for an adult, $36 for a child, and $20 for a senior citizen. On a particular Tuesday, there were 212 adults, 251 children, and 15 senior citizens who visited the Singapore Zoo and on a particular Wednesday, there were 231 adults, 266 children, and 12 senior citizens who visited the Singapore Zoo. The number of visitors on the particular Tuesday and Wednesday can be represented by the matrix V = \begin{pmatrix} 212 & 251 & 15 \\ 231 & 266 & 12 \end{pmatrix}. \text{ (i) Write a } 3 \times 1 \text{ matrix, P, to represent the price of the admission tickets. (ii) Find the matrix } T = VP. \text{ (iii) Explain what each of the elements represents. (iv) Find the total amount collected from the sales of the tickets for the 2 days.}","Two outlets of a coffee chain sell three different types of coffee: espresso, flat white and mocha. The table shows the number of cups of each type of coffee sold on a particular day. Outlet A: Espresso 30, Flat White 30, Mocha 35; Outlet B: Espresso x, Flat White x + 2, Mocha 40. This information can be represented by the matrix \( P = \begin{pmatrix} 30 & 30 & 35 \\ x & x+2 & 40 \end{pmatrix} \). The coffee chain sells a cup of espresso at $2.50, a cup of flat white at $4 and a cup of mocha at $5.50. This information can be represented by the matrix \( Q = \begin{pmatrix} 2.5 \\ 4 \\ 5.5 \end{pmatrix} \). (a) Find, in terms of x, the matrix \( R = PQ \).",,,0.7026515151515151,0.2704583529774246
True,4,False,01JF7736TRYPFQ9Y10QKPQF86K,I need some exercises involving matrix multiplication; can you help?,"A theme park offers three types of passes: daily, weekly, and monthly. The table below shows the number of each type of pass sold over two days.\[ \text{\begin{array}{|c|c|c|c|} \hline & \text{Daily} & \text{Weekly} & \text{Monthly} \\ \hline \text{Saturday} & 120 & 85 & 30 \\ \hline \text{Sunday} & 110 & 95 & 25 \\ \hline \end{array}} \] This information can be represented by the matrix \( X = \begin{pmatrix} 120 & 85 & 30 \\ 110 & 95 & 25 \end{pmatrix} \). 

The prices for each type of pass are represented by the matrix \( Y = \begin{pmatrix} 20 \\ 45 \\ 100 \end{pmatrix} \), where 20, 45, and 100 represent the prices in dollars for a daily, weekly, and monthly pass, respectively. 

(i) Calculate the matrix \( Z = XY \).
(ii) Explain what each element of matrix \( Z \) represents.
(iii) Determine the total revenue collected from the sales of passes over the weekend.",\(Z=\begin{pmatrix}7060\\7275\end{pmatrix}\)andthetotalrevenueis$14335.,"674dcdb4b00b977d048c931b,674dcde1b00b977d048c9352","The admission tickets to the Singapore Zoo are $50 for an adult, $36 for a child, and $20 for a senior citizen. On a particular Tuesday, there were 212 adults, 251 children, and 15 senior citizens who visited the Singapore Zoo and on a particular Wednesday, there were 231 adults, 266 children, and 12 senior citizens who visited the Singapore Zoo. The number of visitors on the particular Tuesday and Wednesday can be represented by the matrix V = \begin{pmatrix} 212 & 251 & 15 \\ 231 & 266 & 12 \end{pmatrix}. \text{ (i) Write a } 3 \times 1 \text{ matrix, P, to represent the price of the admission tickets. (ii) Find the matrix } T = VP. \text{ (iii) Explain what each of the elements represents. (iv) Find the total amount collected from the sales of the tickets for the 2 days.}","Two outlets of a coffee chain sell three different types of coffee: espresso, flat white and mocha. The table shows the number of cups of each type of coffee sold on a particular day. Outlet A: Espresso 30, Flat White 30, Mocha 35; Outlet B: Espresso x, Flat White x + 2, Mocha 40. This information can be represented by the matrix \( P = \begin{pmatrix} 30 & 30 & 35 \\ x & x+2 & 40 \end{pmatrix} \). The coffee chain sells a cup of espresso at $2.50, a cup of flat white at $4 and a cup of mocha at $5.50. This information can be represented by the matrix \( Q = \begin{pmatrix} 2.5 \\ 4 \\ 5.5 \end{pmatrix} \). (a) Find, in terms of x, the matrix \( R = PQ \).",,,0.6573863636363637,0.2781378553118297
True,4,False,01JF77380YGX8XJ2PMP5VY83Z9,Where can I find practice questions on multiplication of matrices?,"A school sells tickets to a carnival at $45 for adults, $30 for students, and $15 for children. On a particular weekend, there were 200 adults, 320 students, and 150 children on Saturday, and 220 adults, 310 students, and 140 children on Sunday. The number of visitors can be represented by the matrix \( W = \begin{pmatrix} 200 & 320 & 150 \\ 220 & 310 & 140 \end{pmatrix} \). 

(i) Write a \( 3 \times 1 \) matrix, \( Q \), to represent the price of these tickets. 

(ii) Find the matrix \( S = WQ \). 

(iii) What does the result of the matrix \( S \) represent? 

(iv) Calculate the total revenue collected from ticket sales for the weekend.",$39550,"674dcdb4b00b977d048c931b,674dcde1b00b977d048c9352","The admission tickets to the Singapore Zoo are $50 for an adult, $36 for a child, and $20 for a senior citizen. On a particular Tuesday, there were 212 adults, 251 children, and 15 senior citizens who visited the Singapore Zoo and on a particular Wednesday, there were 231 adults, 266 children, and 12 senior citizens who visited the Singapore Zoo. The number of visitors on the particular Tuesday and Wednesday can be represented by the matrix V = \begin{pmatrix} 212 & 251 & 15 \\ 231 & 266 & 12 \end{pmatrix}. \text{ (i) Write a } 3 \times 1 \text{ matrix, P, to represent the price of the admission tickets. (ii) Find the matrix } T = VP. \text{ (iii) Explain what each of the elements represents. (iv) Find the total amount collected from the sales of the tickets for the 2 days.}","Two outlets of a coffee chain sell three different types of coffee: espresso, flat white and mocha. The table shows the number of cups of each type of coffee sold on a particular day. Outlet A: Espresso 30, Flat White 30, Mocha 35; Outlet B: Espresso x, Flat White x + 2, Mocha 40. This information can be represented by the matrix \( P = \begin{pmatrix} 30 & 30 & 35 \\ x & x+2 & 40 \end{pmatrix} \). The coffee chain sells a cup of espresso at $2.50, a cup of flat white at $4 and a cup of mocha at $5.50. This information can be represented by the matrix \( Q = \begin{pmatrix} 2.5 \\ 4 \\ 5.5 \end{pmatrix} \). (a) Find, in terms of x, the matrix \( R = PQ \).",,,0.5790422837848208,0.26627853264275814
True,4,False,01JF773NAVB9PACBNMPE9ERA3N,Do you have any sample questions on multiplying two matrices?,"A theater has three types of movie tickets: adult, child, and senior. On a given day, Theater 1 sold 120 adult tickets, 100 child tickets, and 30 senior tickets. Theater 2 sold \(x\) adult tickets, \(x + 10\) child tickets, and 20 senior tickets. The number of tickets sold can be represented by the matrix:
$$M = \begin{pmatrix} 120 & 100 & 30 \\ x & x+10 & 20 \end{pmatrix}$$

The prices for each ticket type are as follows: adult tickets are $12, child tickets are $8, and senior tickets are $5. Let the price matrix be represented as:
$$N = \begin{pmatrix} 12 \\ 8 \\ 5 \end{pmatrix}$$

(a) Write the expression for the matrix product \(S = MN\).
(b) If Theater 2 collected $210 more than Theater 1, find the value of \(x\).

**[5 marks]**",x=15,"674dcdb4b00b977d048c931b,674dcde1b00b977d048c9352","The admission tickets to the Singapore Zoo are $50 for an adult, $36 for a child, and $20 for a senior citizen. On a particular Tuesday, there were 212 adults, 251 children, and 15 senior citizens who visited the Singapore Zoo and on a particular Wednesday, there were 231 adults, 266 children, and 12 senior citizens who visited the Singapore Zoo. The number of visitors on the particular Tuesday and Wednesday can be represented by the matrix V = \begin{pmatrix} 212 & 251 & 15 \\ 231 & 266 & 12 \end{pmatrix}. \text{ (i) Write a } 3 \times 1 \text{ matrix, P, to represent the price of the admission tickets. (ii) Find the matrix } T = VP. \text{ (iii) Explain what each of the elements represents. (iv) Find the total amount collected from the sales of the tickets for the 2 days.}","Two outlets of a coffee chain sell three different types of coffee: espresso, flat white and mocha. The table shows the number of cups of each type of coffee sold on a particular day. Outlet A: Espresso 30, Flat White 30, Mocha 35; Outlet B: Espresso x, Flat White x + 2, Mocha 40. This information can be represented by the matrix \( P = \begin{pmatrix} 30 & 30 & 35 \\ x & x+2 & 40 \end{pmatrix} \). The coffee chain sells a cup of espresso at $2.50, a cup of flat white at $4 and a cup of mocha at $5.50. This information can be represented by the matrix \( Q = \begin{pmatrix} 2.5 \\ 4 \\ 5.5 \end{pmatrix} \). (a) Find, in terms of x, the matrix \( R = PQ \).",,,0.6898329204207422,0.258702869092212
True,4,False,01JF7749QSEZQBSRF9TNAYGD38,"I need exercises involving calculating mean, median, and mode; can you help?","Sarah records the number of books borrowed from the library each week for 15 weeks. The data shows: 7, 8, 10, 12, 7, 6, 10, 11, 10, 9, 8, 10, 7, 8, and 11 books. Calculate the mean, median, and mode of the number of books borrowed.","Mean=9,Median=9,Mode=10.","674dcd9cb00b977d048c92ff,674dcd9db00b977d048c9300","Ethan measures the amount of rain, in millimetres (mm), each day for 31 days. The bar chart shows his results. 

(a) Write down the median amount of rain.",(b) Find the mean amount of rain per day.,,,0.7943722943722944,0.4310214656398763
True,4,False,01JF7741EP4XRX9ZSJ9K38RERP,Could you give me some problems to practice matrix multiplication?,"At a community sports festival, tickets for events are sold as follows: $40 for adults, $25 for teenagers, and $15 for children. On Friday, 120 adults, 200 teenagers, and 70 children attended the events. On Saturday, 150 adults, 230 teenagers, and 80 children attended. Representing the attendance using the matrix \( A = \begin{pmatrix} 120 & 200 & 70 \\ 150 & 230 & 80 \end{pmatrix} \), do the following:

(i) Write a \( 3 \times 1 \) matrix \( P \) to represent the price of the tickets.

(ii) Compute the matrix \( T = AP \).

(iii) Explain what each element of the matrix \( T \) represents.

(iv) Calculate the total revenue collected from the ticket sales over the two days.",20400,"674dcdb4b00b977d048c931b,674dcde1b00b977d048c9352","The admission tickets to the Singapore Zoo are $50 for an adult, $36 for a child, and $20 for a senior citizen. On a particular Tuesday, there were 212 adults, 251 children, and 15 senior citizens who visited the Singapore Zoo and on a particular Wednesday, there were 231 adults, 266 children, and 12 senior citizens who visited the Singapore Zoo. The number of visitors on the particular Tuesday and Wednesday can be represented by the matrix V = \begin{pmatrix} 212 & 251 & 15 \\ 231 & 266 & 12 \end{pmatrix}. \text{ (i) Write a } 3 \times 1 \text{ matrix, P, to represent the price of the admission tickets. (ii) Find the matrix } T = VP. \text{ (iii) Explain what each of the elements represents. (iv) Find the total amount collected from the sales of the tickets for the 2 days.}","Two outlets of a coffee chain sell three different types of coffee: espresso, flat white and mocha. The table shows the number of cups of each type of coffee sold on a particular day. Outlet A: Espresso 30, Flat White 30, Mocha 35; Outlet B: Espresso x, Flat White x + 2, Mocha 40. This information can be represented by the matrix \( P = \begin{pmatrix} 30 & 30 & 35 \\ x & x+2 & 40 \end{pmatrix} \). The coffee chain sells a cup of espresso at $2.50, a cup of flat white at $4 and a cup of mocha at $5.50. This information can be represented by the matrix \( Q = \begin{pmatrix} 2.5 \\ 4 \\ 5.5 \end{pmatrix} \). (a) Find, in terms of x, the matrix \( R = PQ \).",,,0.6464332145496039,0.2653677633572358
True,4,False,01JF7744HHK39C6E0CG89CSYEV,"Can you provide practice problems on finding the mean, median, and mode?","Sophia records the temperatures in degrees Celsius at noon each day for 15 days. The recorded temperatures are as follows: 12, 15, 15, 14, 16, 18, 19, 20, 21, 22, 22, 22, 23, 24, 25. Calculate the mean, median, and mode of the temperatures recorded.","Mean:18.53,Median:20,Mode:22","674dcd9cb00b977d048c92ff,674dcd9db00b977d048c9300,674dcdc9b00b977d048c9325,674dcdddb00b977d048c934c","Ethan measures the amount of rain, in millimetres (mm), each day for 31 days. The bar chart shows his results. 

(a) Write down the median amount of rain.",(b) Find the mean amount of rain per day.,"Tristen has written five positive integers. The median of these numbers is 8, the mode is 7 and the mean is 13. The range of these numbers is 21. Find the five numbers.","\text{The stem-and-leaf diagram below shows the times, in minutes, taken by 15 students to complete a task.}",0.7801204819277109,0.40107489906294164
True,4,False,01JF7754R2R0NR4AG1QQ4JYFTC,Can you provide practice problems on applying angle properties of circles?,"In the circle with center O, points A, D, B, and C lie on the circumference. Line AT is a tangent to the circle at A, and line BT is also a tangent at B. If angle AOB = 148° and angle DAT = 38°, calculate the following:

(a) Determine the measure of angle ACB.
(b) Find the measure of angle ADB.",AngleACB=74°.AngleADB=68°.,"674dcdb4b00b977d048c931a,674dcdd3b00b977d048c9337","A, D, B, and C lie on a circle, center O. AP is a tangent to the circle at A and BP is a tangent to the circle at B. \angle AOB = 142^\circ \text{ and } \angle DAP = 42^\circ. \text{ (a) Find the value of (i) } \angle ACB, \text{ (ii) } \angle ADB. \text{ (b) Is OB parallel to AD? Explain.}","A, B, C \text{ and } D \text{ lie on a circle with centre } O \text{ and radius } 5 \text{ cm. } \angle AOB = 1.8 \text{ radians. }",,,0.7033898305084745,0.34097724629074866
True,4,False,01JF774JPYJ53XJ4FD44ZDGC94,"Where can I find practice questions on mean, median, and mode?","A gardener recorded the number of apples fallen from a tree each day over a period of 21 consecutive days. The data recorded is as follows: 3, 2, 5, 4, 3, 7, 5, 3, 6, 4, 3, 5, 4, 4, 2, 5, 7, 6, 3, 4, 5.\n\n(a) Calculate the median number of apples fallen per day.\n(b) Identify the mode of the data set.\n(c) Compute the mean number of apples fallen per day.","Median:4,Mode:3,Mean:4.38","674dcd9cb00b977d048c92ff,674dcd9db00b977d048c9300,674dcdc9b00b977d048c9325,674dcdddb00b977d048c934c","Ethan measures the amount of rain, in millimetres (mm), each day for 31 days. The bar chart shows his results. 

(a) Write down the median amount of rain.",(b) Find the mean amount of rain per day.,"Tristen has written five positive integers. The median of these numbers is 8, the mode is 7 and the mean is 13. The range of these numbers is 21. Find the five numbers.","\text{The stem-and-leaf diagram below shows the times, in minutes, taken by 15 students to complete a task.}",0.8114525139664804,0.42594097068857684
True,4,False,01JF7750M1HVTMJY3DHK11GS5D,"Could you give me some problems to practice calculating mean, median, and mode?","Emma recorded the daily high temperature in degrees Celsius over 30 days. The temperatures she recorded are distributed as shown in the table below:

| Temperature (°C) | Frequency |
|------------------|-----------|
| 20               | 5         |
| 22               | 8         |
| 24               | 6         |
| 26               | 7         |
| 28               | 4         |

(a) Calculate the mean temperature.
(b) Determine the median temperature.
(c) Identify the mode of the temperatures.","Mean=23.8°C,Median=24°C,Mode=22°C","674dcd9cb00b977d048c92ff,674dcd9db00b977d048c9300","Ethan measures the amount of rain, in millimetres (mm), each day for 31 days. The bar chart shows his results. 

(a) Write down the median amount of rain.",(b) Find the mean amount of rain per day.,,,0.8825301204819277,0.4576693757065028
